VendorNumber,VendorName,Brand,Description,Classification,RetailPrice,UnitPurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,VendorFreightCost,AllocatedFreightCost,GrossProfit,ProfitMargin%,NetProfit,NetProfitMargin%,StockTurnover,SalesPurchaseRatio,PriceMarkup%,AvgUnitsSoldPerDay,VolumeCategory,PerformanceTier,IsUnderperforming,Cluster,ClusterLabel,PredictedUnderperforming,UnderperformingRiskScore
480,BACARDI USA INC,4243,Bacardi Superior Rum,1,19.99,14.49,1750.0,76389,1106876.6099999847,77041.0,1657809.5899997752,21.805844734325,141551.60999999248,89286.26999999999,5607.51,550932.9799997904,33.23258493153398,545325.4699997904,32.894336797741914,1.0085352603123487,1.497736581496467,37.957211870255335,210.49,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,2,39.99,27.2,750.0,40380,1098336.0000000028,38506.0,1584665.4099999077,42.00457341984779,4316.35999999995,48347.26,5605.57,486329.4099999049,30.689722065677778,480723.8399999049,30.33598366988606,0.9535908865775137,1.4427874621244352,47.02205882352942,105.21,Standard(201-750ml),Mid,0,1,High Volume Giants,0,0.0014
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,1,19.99,14.72,750.0,72952,1073853.4400000074,73122.0,1456174.7799997765,19.934811845257723,57570.690000006565,257032.07000000007,5416.32,382321.3399997691,26.255182087402158,376905.0199997691,25.883226737371935,1.0023302993749315,1.3560274854637206,35.801630434782595,199.79,Standard(201-750ml),High,0,1,High Volume Giants,0,0.0
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,1,18.99,13.43,1750.0,77066,1034996.3799999938,74722.0,1408627.7799997577,19.24503277832124,137288.5799999888,38994.78000000001,5318.83,373631.3999997638,26.52449463972861,368312.5699997638,26.146905181710046,0.9695845119767472,1.3609977843591743,41.399851079672366,204.16,Magnum(1001-1750ml),Mid,0,1,High Volume Giants,0,0.0023
11567,CAMPARI AMERICA,3826,Skyy Vodka,1,19.99,15.74,1750.0,65382,1029112.6799999664,64388.0,1327401.119999779,20.97383069789043,118298.36999998645,20964.809999999998,5209.22,298288.4399998125,22.471612800798464,293079.21999981254,22.079175283493914,0.9847970389403812,1.2898501260326733,27.001270648030484,175.92,Magnum(1001-1750ml),Mid,0,2,Mid Tier Performers,0,0.0005
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,2,52.99,34.01,750.0,29829,1014484.2900000048,29498.0,1533634.519999969,52.24779707856518,3314.2299999999736,48347.26,5177.62,519150.22999996424,33.85097448119352,513972.60999996425,33.51336992597002,0.9889034161386571,1.511738067427305,55.80711555424877,80.6,Standard(201-750ml),Mid,0,1,High Volume Giants,0,0.0011
17035,PERNOD RICARD USA,3423,Beefeater,1,26.99,21.25,1750.0,46163,980963.75,44762.0,1177834.3799998525,26.44132743362306,82244.15999998542,123780.21999999997,5033.3,196870.6299998525,16.71462756927482,191837.32999985252,16.2872924459784,0.9696510192145225,1.2006910347093382,27.011764705882346,122.3,Magnum(1001-1750ml),High,0,2,Mid Tier Performers,0,0.0023
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,1,13.99,11.1,750.0,87954,976289.3999999905,84289.0,1174428.3599998045,14.064267154317262,66360.95000000767,50293.62000000002,4951.32,198138.95999981405,16.871098037844305,193187.63999981404,16.4495039952753,0.9583304909384451,1.2029510511942627,26.03603603603604,230.3,Standard(201-750ml),Mid,0,2,Mid Tier Performers,0,0.0042
17035,PERNOD RICARD USA,5734,Malibu Rum,1,21.99,15.82,1750.0,61639,975128.9800000095,60102.0,1293182.9799998398,21.621874914273338,110429.44999998703,123780.21999999997,5003.37,318053.99999983027,24.59466331670014,313050.6299998303,24.207759833018297,0.9750644883920895,1.3261660831778654,39.001264222503146,164.21,Magnum(1001-1750ml),High,0,2,Mid Tier Performers,0,0.0003
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,1,17.99,14.17,1750.0,68294,967725.9800000013,75147.0,1323223.529999905,17.695929247632606,138074.08999999802,89286.26999999999,4902.56,355497.5499999038,26.866023913580893,350594.9899999038,26.49552264234063,1.100345564764108,1.3673535250132516,26.958362738179243,205.32,Magnum(1001-1750ml),High,0,2,Mid Tier Performers,0,0.0
